"chemical.id","bottle.id","conc","plate.id","well","variable","value"
1174,"P215706","0",25484,"G01","t1",0
1174,"P215706","0",25484,"G02","t1",0
1174,"P215706","0",25484,"G03","t1",0
1174,"P215706","0",25484,"G04","t1",0
1174,"P215706","0",25484,"G05","t1",0
1174,"P215706","0",25484,"G06","t1",0
1174,"P215706","0",25484,"G07","t1",0
1174,"P215706","0",25484,"G08","t1",0
1174,"P215706","0",25484,"G09","t1",0
1174,"P215706","0",25484,"G10","t1",0
1174,"P215706","0",25484,"G11","t1",0
1174,"P215706","0",25484,"G12","t1",0
1174,"P215706","0",25484,"H01","t1",0
1174,"P215706","0",25484,"H02","t1",0
1174,"P215706","0",25484,"H03","t1",0
1174,"P215706","0",25484,"H04","t1",0
1174,"P215706","0",25484,"H05","t1",0
1174,"P215706","0",25484,"H06","t1",0
1174,"P215706","0",25484,"H07","t1",0
1174,"P215706","0",25484,"H08","t1",0
1174,"P215706","0",25484,"H09","t1",0
1174,"P215706","0",25484,"H10","t1",0
1174,"P215706","0",25484,"H11","t1",0
1174,"P215706","0",25484,"H12","t1",0
1174,"P215706","0",25485,"G01","t1",0
1174,"P215706","0",25485,"G02","t1",0
1174,"P215706","0",25485,"G03","t1",0
1174,"P215706","0",25485,"G04","t1",41.862000125
1174,"P215706","0",25485,"G05","t1",0
1174,"P215706","0",25485,"G06","t1",0
1174,"P215706","0",25485,"G07","t1",0
1174,"P215706","0",25485,"G08","t1",0
1174,"P215706","0",25485,"G09","t1",0
1174,"P215706","0",25485,"G10","t1",0
1174,"P215706","0",25485,"G11","t1",0
1174,"P215706","0",25485,"G12","t1",0
1174,"P215706","0",25485,"H01","t1",0
1174,"P215706","0",25485,"H02","t1",0
1174,"P215706","0",25485,"H03","t1",0
1174,"P215706","0",25485,"H04","t1",0
1174,"P215706","0",25485,"H05","t1",0
1174,"P215706","0",25485,"H06","t1",0
1174,"P215706","0",25485,"H07","t1",6.358507125
1174,"P215706","0",25485,"H08","t1",0
1174,"P215706","0",25485,"H09","t1",0
1174,"P215706","0",25485,"H10","t1",0
1174,"P215706","0",25485,"H11","t1",0
1174,"P215706","0",25485,"H12","t1",0
1174,"P215706","1",25484,"E01","t1",0
1174,"P215706","1",25484,"E02","t1",0
1174,"P215706","1",25484,"E03","t1",0
1174,"P215706","1",25484,"E04","t1",0.021701375
1174,"P215706","1",25484,"E05","t1",0
1174,"P215706","1",25484,"E06","t1",0
1174,"P215706","1",25484,"E07","t1",0
1174,"P215706","1",25484,"E08","t1",0
1174,"P215706","1",25484,"E09","t1",0
