"chemical.id","bottle.id","conc","plate.id","well","variable","value"
1174,"P215706",0,25484,"G01","t0",1.47099995613098
1174,"P215706",0,25484,"G02","t0",0
1174,"P215706",0,25484,"G03","t0",0
1174,"P215706",0,25484,"G04","t0",0
1174,"P215706",0,25484,"G05","t0",0
1174,"P215706",0,25484,"G06","t0",0
1174,"P215706",0,25484,"G07","t0",0
1174,"P215706",0,25484,"G08","t0",0
1174,"P215706",0,25484,"G09","t0",0
1174,"P215706",0,25484,"G10","t0",0
1174,"P215706",0,25484,"G11","t0",0
1174,"P215706",0,25484,"G12","t0",NA
1174,"P215706",0,25484,"H01","t0",0
1174,"P215706",0,25484,"H02","t0",0
1174,"P215706",0,25484,"H03","t0",0
1174,"P215706",0,25484,"H04","t0",0.688000023365021
1174,"P215706",0,25484,"H05","t0",0
1174,"P215706",0,25484,"H06","t0",0
1174,"P215706",0,25484,"H07","t0",0
1174,"P215706",0,25484,"H08","t0",3.09699988365173
1174,"P215706",0,25484,"H09","t0",0
1174,"P215706",0,25484,"H10","t0",0
1174,"P215706",0,25484,"H11","t0",0
1174,"P215706",0,25484,"H12","t0",0
1174,"P215706",0,25485,"G01","t0",0
1174,"P215706",0,25485,"G02","t0",0
1174,"P215706",0,25485,"G03","t0",NA
1174,"P215706",0,25485,"G04","t0",0
1174,"P215706",0,25485,"G05","t0",0
1174,"P215706",0,25485,"G06","t0",0
1174,"P215706",0,25485,"G07","t0",0
1174,"P215706",0,25485,"G08","t0",0
1174,"P215706",0,25485,"G09","t0",NA
1174,"P215706",0,25485,"G10","t0",0
1174,"P215706",0,25485,"G11","t0",0
1174,"P215706",0,25485,"G12","t0",0
1174,"P215706",0,25485,"H01","t0",0
1174,"P215706",0,25485,"H02","t0",0
1174,"P215706",0,25485,"H03","t0",NA
1174,"P215706",0,25485,"H04","t0",0
1174,"P215706",0,25485,"H05","t0",0
1174,"P215706",0,25485,"H06","t0",NA
1174,"P215706",0,25485,"H07","t0",0
1174,"P215706",0,25485,"H08","t0",NA
1174,"P215706",0,25485,"H09","t0",0
1174,"P215706",0,25485,"H10","t0",0
1174,"P215706",0,25485,"H11","t0",0
1174,"P215706",0,25485,"H12","t0",0
1174,"P215706",0,25486,"G01","t0",0.678999990224838
1174,"P215706",0,25486,"G02","t0",0
1174,"P215706",0,25486,"G03","t0",0
1174,"P215706",0,25486,"G04","t0",0
1174,"P215706",0,25486,"G05","t0",0
1174,"P215706",0,25486,"G06","t0",0
1174,"P215706",0,25486,"G07","t0",0
1174,"P215706",0,25486,"G08","t0",0.131999999284744
1174,"P215706",0,25486,"G09","t0",0
1174,"P215706",0,25486,"G10","t0",0
1174,"P215706",0,25486,"G11","t0",0
1174,"P215706",0,25486,"G12","t0",0
1174,"P215706",0,25486,"H01","t0",0
1174,"P215706",0,25486,"H02","t0",0.136000007390976
1174,"P215706",0,25486,"H03","t0",1.85000002384186
1174,"P215706",0,25486,"H04","t0",0
1174,"P215706",0,25486,"H05","t0",0
1174,"P215706",0,25486,"H06","t0",0
1174,"P215706",0,25486,"H07","t0",0
1174,"P215706",0,25486,"H08","t0",0
1174,"P215706",0,25486,"H09","t0",0
1174,"P215706",0,25486,"H10","t0",0
1174,"P215706",0,25486,"H11","t0",0
1174,"P215706",0,25486,"H12","t0",0
1174,"P215706",0,25487,"G01","t0",0
1174,"P215706",0,25487,"G02","t0",0
1174,"P215706",0,25487,"G03","t0",0
1174,"P215706",0,25487,"G04","t0",0
1174,"P215706",0,25487,"G05","t0",0
1174,"P215706",0,25487,"G06","t0",0
1174,"P215706",0,25487,"G07","t0",0
1174,"P215706",0,25487,"G08","t0",0
