"chemical.id","bottle.id","interval","conc","chemical.name","count","org_ss","perc","ss_more_70perc","epoch","AUC","Pval","RelativeRatio","significance p<0.01","activity","Sig","comment","Fail_QC"
"1174","P215706","Dark",0,"Benzo[a]pyrene",204,215,0.95,TRUE,"1",156.069,1,0,NA,NA,NA,"ctrl too active in the dark","YES"
"1174","P215706","Dark",0,"Benzo[a]pyrene",204,215,0.95,TRUE,"3",126.108,1,0,NA,NA,NA,"ctrl too active in the dark","YES"
"1174","P215706","Dark",1,"Benzo[a]pyrene",210,213,0.99,TRUE,"1",126.121,0.089,-0.192,NA,NA,NA,"ctrl too active in the dark","YES"
"1174","P215706","Dark",1,"Benzo[a]pyrene",210,213,0.99,TRUE,"3",106.331,0.236,-0.157,NA,NA,NA,"ctrl too active in the dark","YES"
"1174","P215706","Dark",5,"Benzo[a]pyrene",202,214,0.94,TRUE,"1",140.091,0,-0.102,"YES","HYPO","YES","ctrl too active in the dark","YES"
"1174","P215706","Dark",5,"Benzo[a]pyrene",202,214,0.94,TRUE,"3",143.41,0.004,0.137,"YES","HYPER","YES","ctrl too active in the dark","YES"
"1174","P215706","Dark",10,"Benzo[a]pyrene",172,215,0.8,TRUE,"1",67.249,0,-0.569,"YES","HYPO","YES","ctrl too active in the dark","YES"
"1174","P215706","Dark",10,"Benzo[a]pyrene",172,215,0.8,TRUE,"3",66.192,0,-0.475,"YES","HYPO","YES","ctrl too active in the dark","YES"
"1174","P215706","Light",0,"Benzo[a]pyrene",204,215,0.95,TRUE,"1",21.206,1,0,NA,NA,NA,NA,"YES"
"1174","P215706","Light",0,"Benzo[a]pyrene",204,215,0.95,TRUE,"3",9.113,1,0,NA,NA,NA,NA,"YES"
"1174","P215706","Light",1,"Benzo[a]pyrene",210,213,0.99,TRUE,"1",63.357,0.494,1.988,NA,NA,NA,NA,"YES"
"1174","P215706","Light",1,"Benzo[a]pyrene",210,213,0.99,TRUE,"3",36.4,0.018,2.994,NA,NA,NA,NA,"YES"
"1174","P215706","Light",5,"Benzo[a]pyrene",202,214,0.94,TRUE,"1",76.703,0.05,2.617,NA,NA,NA,NA,"YES"
"1174","P215706","Light",5,"Benzo[a]pyrene",202,214,0.94,TRUE,"3",53.969,0.263,4.922,NA,NA,NA,NA,"YES"
"1174","P215706","Light",10,"Benzo[a]pyrene",172,215,0.8,TRUE,"1",71.56,0,2.375,"YES","HYPER","YES",NA,"YES"
"1174","P215706","Light",10,"Benzo[a]pyrene",172,215,0.8,TRUE,"3",26.675,0,1.927,"YES","HYPER","YES",NA,"YES"
