"chemical.id","bottle.id","chemical.name","conc","plate.id","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"P737470","P737470","Benzo[a]pyrene",0,19737,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,4.17,4.17
"P737470","P737470","Benzo[a]pyrene",1,19737,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
"P737470","P737470","Benzo[a]pyrene",5,19737,0,0,0,0,0,4.17,0,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,4.17,4.17
"P737470","P737470","Benzo[a]pyrene",10,19737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",0,19738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",1,19738,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17
"P737470","P737470","Benzo[a]pyrene",5,19738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",10,19738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",0,19842,26.09,0,0,0,26.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.09
"P737470","P737470","Benzo[a]pyrene",1,19842,12.5,0,0,0,12.5,4.76,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,16.67
"P737470","P737470","Benzo[a]pyrene",5,19842,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67
"P737470","P737470","Benzo[a]pyrene",10,19842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",0,19843,20.83,0,0,0,20.83,5.26,5.26,5.26,5.26,5.26,5.26,5.26,0,0,5.26,5.26,0,0,5.26,0,0,0,5.26,25
"P737470","P737470","Benzo[a]pyrene",1,19843,8.33,0,0,0,8.33,4.55,4.55,4.55,4.55,4.55,0,4.55,0,0,4.55,4.55,0,0,0,0,0,0,4.55,12.5
"P737470","P737470","Benzo[a]pyrene",5,19843,8.7,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04
"P737470","P737470","Benzo[a]pyrene",10,19843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",0,19902,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17
"P737470","P737470","Benzo[a]pyrene",1,19902,0,0,0,0,0,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
"P737470","P737470","Benzo[a]pyrene",5,19902,8.7,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7
"P737470","P737470","Benzo[a]pyrene",10,19902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",0,19903,4.17,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17
"P737470","P737470","Benzo[a]pyrene",1,19903,0,0,0,0,0,8.33,8.33,12.5,8.33,8.33,8.33,12.5,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,12.5,12.5
"P737470","P737470","Benzo[a]pyrene",5,19903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470","P737470","Benzo[a]pyrene",10,19903,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17
