"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"P737470_20200123","MO24","0","11","11",0
"P737470_20200123","MO24","1","5","5",0
"P737470_20200123","MO24","5","6","6",0
"P737470_20200123","MO24","10","0","0",0
"P737470_20200123","DP24","0","0","0",0
"P737470_20200123","DP24","1","0","0",0
"P737470_20200123","DP24","5","0","0",0
"P737470_20200123","DP24","10","0","0",0
"P737470_20200123","SM24","0","0","0",0
"P737470_20200123","SM24","1","0","0",0
"P737470_20200123","SM24","5","0","0",0
"P737470_20200123","SM24","10","0","0",0
"P737470_20200123","NC24","0","0","0",0
"P737470_20200123","NC24","1","0","0",0
"P737470_20200123","NC24","5","0","0",0
"P737470_20200123","NC24","10","0","0",0
"P737470_20200123","MORT","0","11","11",0
"P737470_20200123","MORT","1","5","5",0
"P737470_20200123","MORT","5","7","7",0
"P737470_20200123","MORT","10","0","0",0
"P737470_20200123","YSE_","0","1","1",0
"P737470_20200123","YSE_","1","2","2",0
"P737470_20200123","YSE_","5","0","0",0
"P737470_20200123","YSE_","10","0","0",0
"P737470_20200123","AXIS","0","1","1",0
"P737470_20200123","AXIS","1","2","2",0
"P737470_20200123","AXIS","5","0","0",0
"P737470_20200123","AXIS","10","0","0",0
"P737470_20200123","EYE_","0","1","1",0
"P737470_20200123","EYE_","1","2","2",0
"P737470_20200123","EYE_","5","0","0",0
"P737470_20200123","EYE_","10","0","0",0
"P737470_20200123","SNOU","0","1","1",0
"P737470_20200123","SNOU","1","1","1",0
"P737470_20200123","SNOU","5","0","0",0
"P737470_20200123","SNOU","10","0","0",0
"P737470_20200123","JAW_","0","1","1",0
"P737470_20200123","JAW_","1","1","1",0
"P737470_20200123","JAW_","5","0","0",0
"P737470_20200123","JAW_","10","0","0",0
"P737470_20200123","OTIC","0","1","1",0
"P737470_20200123","OTIC","1","0","0",0
"P737470_20200123","OTIC","5","0","0",0
"P737470_20200123","OTIC","10","0","0",0
"P737470_20200123","PE__","0","1","1",0
"P737470_20200123","PE__","1","1","1",0
"P737470_20200123","PE__","5","0","0",0
"P737470_20200123","PE__","10","0","0",0
"P737470_20200123","BRAI","0","0","0",0
"P737470_20200123","BRAI","1","0","0",0
"P737470_20200123","BRAI","5","0","0",0
"P737470_20200123","BRAI","10","0","0",0
"P737470_20200123","SOMI","0","0","0",0
"P737470_20200123","SOMI","1","0","0",0
"P737470_20200123","SOMI","5","0","0",0
"P737470_20200123","SOMI","10","0","0",0
"P737470_20200123","PFIN","0","1","1",0
"P737470_20200123","PFIN","1","1","1",0
"P737470_20200123","PFIN","5","0","0",0
"P737470_20200123","PFIN","10","0","0",0
"P737470_20200123","CFIN","0","1","1",0
"P737470_20200123","CFIN","1","1","1",0
"P737470_20200123","CFIN","5","0","0",0
