"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"1","P737470_20200123","0",0.596,1,1,1,0.596,0.7535,0.7535,0.7535,0.7535,0.7535,0.7535,0.7535,1,1,0.7535,0.7535,1,1,0.7535,1,1,1,0.7535,0.5933
"4","P737470_20200123","1",0.9764,1,1,1,0.9764,0.5671,0.5671,0.5671,0.7955,0.7955,1,0.7955,1,1,0.7955,0.7955,1,1,1,1,1,1,0.5671,0.9448
"7","P737470_20200123","5",0.947,1,1,1,0.9054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.939
"10","P737470_20200123","10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","P737470_20200206","0",1,1,1,1,1,1,1,1,1,1,1,0.7526,1,1,1,1,1,1,1,1,1,1,0.7526,0.7526
"5","P737470_20200206","1",0.0586,1,1,1,0.0586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.1808
"8","P737470_20200206","5",1,1,1,1,1,0.5,1,0.5,1,1,1,0.7526,1,1,1,1,1,1,1,1,1,1,0.7526,0.7526
"11","P737470_20200206","10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","P737470_20200227","0",0.6915,1,1,1,0.6915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6915
"6","P737470_20200227","1",1,1,1,1,1,0.129,0.129,0.0638,0.129,0.129,0.129,0.0638,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.129,0.0638,0.3387
"9","P737470_20200227","5",0.6835,1,1,1,0.6835,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6835
"12","P737470_20200227","10",1,1,1,1,0.8789,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8789
