"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"1","P737470_20200123","0","36;11;36;11","36;0;36;0","36;0;36;0","36;0;36;0","36;11;36;11","35;1;35;1","35;1;35;1","35;1;35;1","35;1;35;1","35;1;35;1","35;1;35;1","35;1;35;1","36;0;36;0","36;0;36;0","35;1;35;1","35;1;35;1","36;0;36;0","36;0;36;0","35;1;35;1","36;0;36;0","36;0;36;0","36;0;36;0","35;1;35;1","35;12;35;12"
"4","P737470_20200123","1","36;11;43;5","36;0;43;0","36;0;43;0","36;0;43;0","36;11;43;5","35;1;41;2","35;1;41;2","35;1;41;2","35;1;42;1","35;1;42;1","35;1;43;0","35;1;42;1","36;0;43;0","36;0;43;0","35;1;42;1","35;1;42;1","36;0;43;0","36;0;43;0","35;1;43;0","36;0;43;0","36;0;43;0","36;0;43;0","35;1;41;2","35;12;41;7"
"7","P737470_20200123","5","36;11;41;6","36;0;41;0","36;0;41;0","36;0;41;0","36;11;40;7","35;1;40;0","35;1;40;0","35;1;40;0","35;1;40;0","35;1;40;0","35;1;40;0","35;1;40;0","36;0;40;0","36;0;40;0","35;1;40;0","35;1;40;0","36;0;40;0","36;0;40;0","35;1;40;0","36;0;40;0","36;0;40;0","36;0;40;0","35;1;41;0","35;12;40;7"
"10","P737470_20200123","10","36;11;48;0","36;0;48;0","36;0;48;0","36;0;48;0","36;11;48;0","35;1;48;0","35;1;48;0","35;1;48;0","35;1;48;0","35;1;48;0","35;1;48;0","35;1;48;0","36;0;48;0","36;0;48;0","35;1;48;0","35;1;48;0","36;0;48;0","36;0;48;0","35;1;48;0","36;0;48;0","36;0;48;0","36;0;48;0","35;1;48;0","35;12;48;0"
"2","P737470_20200206","0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","47;1;47;1","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","47;1;47;1","47;1;47;1"
"5","P737470_20200206","1","48;0;44;4","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;4","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","47;1;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","48;0;44;0","47;1;44;0","47;1;44;4"
"8","P737470_20200206","5","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;47;1","48;0;48;0","48;0;47;1","48;0;48;0","48;0;48;0","48;0;48;0","47;1;47;1","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","47;1;47;1","47;1;47;1"
"11","P737470_20200206","10","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","47;1;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","48;0;48;0","47;1;48;0","47;1;48;0"
"3","P737470_20200227","0","46;2;46;2","46;0;46;0","46;0;46;0","46;0;46;0","46;2;46;2","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;0;46;0","46;2;46;2"
"6","P737470_20200227","1","46;2;48;0","46;0;48;0","46;0;48;0","46;0;48;0","46;2;48;0","46;0;45;3","46;0;45;3","46;0;44;4","46;0;45;3","46;0;45;3","46;0;45;3","46;0;44;4","46;0;45;3","46;0;45;3","46;0;45;3","46;0;45;3","46;0;45;3","46;0;45;3","46;0;45;3","46;0;45;3","46;0;45;3","46;0;45;3","46;0;44;4","46;2;44;4"
"9","P737470_20200227","5","46;2;45;2","46;0;45;0","46;0;45;0","46;0;45;0","46;2;45;2","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;0;45;0","46;2;45;2"
"12","P737470_20200227","10","46;2;48;0","46;0;48;0","46;0;48;0","46;0;48;0","46;2;47;1","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;47;0","46;0;48;0","46;2;47;1"
