"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8",0,11,0,0,0,11,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,12
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8",1,5,0,0,0,5,2,2,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,2,7
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8",5,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8",1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8",5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8",1,0,0,0,0,0,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8",5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
