"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8","0",47,36,36,36,47,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,47
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8","1",48,43,43,43,48,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,48
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8","5",47,41,41,41,47,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,47
"P737470_20200123","P737470","Benzo[a]pyrene","50-32-8","10",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8","0",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8","1",48,44,44,44,48,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,48
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8","5",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
"P737470_20200206","P737470","Benzo[a]pyrene","50-32-8","10",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8","0",48,46,46,46,48,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,48
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8","1",48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8","5",47,45,45,45,47,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,47
"P737470_20200227","P737470","Benzo[a]pyrene","50-32-8","10",48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48
