chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
1174,P737470,0,19737,A01,0,0,0,0,0,7.6389030625,0,5.859376125,0,10.4817659375,0,5.685753125,0.5425348125,0,0,7.465278125,0,0,0,0,12.60852075,0,4.644098875,0,0,0,8.1597275,0,6.5104016875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,0,19737,A02,0,3.450520875,0.217013875,0,0,0,3.7543398125,0,2.92968775,0.0434028125,0,0,0,0,0,0,0,0,0,0,0,0,0,4.861112125,0,0,0,0,3.776040625,0.04340275,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,0,19737,A03,0.95486,3.124999,0,4.2100666875,0.0868054375,0,0,2.365450125,0,0,0,0,0.7378471875,0,0,0,2.6041654375,0,2.4305565625,0.716146875,1.36718725,1.9097216875,0,2.278645,0,0,0.4557290625,0,0,0.5859375,0.021701375,0,0,0,0.67274375,3.08159575,0.021701375,2.148436625,2.2786445,0.021701375,0,0,0,0,0,0,0,0,0,0
1174,P737470,0,19737,A04,0,0,7.4001746875,0.021701375,3.66754375,7.0312523125,0,0,0,0,0,0,0,0,6.814234375,0.9765629375,0,0,6.336792,1.3671880625,0,10.1562516875,0,3.3854135625,0.04340275,0,0,6.4236104375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0
1174,P737470,0,19737,A05,0,0,4.5139,1.584201,0,8.463535,0.2604164375,0,5.4253471875,0,2.647568375,0,0,9.331601875,0,0.021701375,0,0,4.2534709375,0,0,3.1467009375,0,8.28993125,1.562500625,0,5.1649323125,0,0,0,8.39842325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375
1174,P737470,0,19737,A06,0,3.515622625,0,0,6.380206875,0,0,3.2986123125,0.021701375,4.318575,0.108506875,0,8.7673654375,0,3.5373230625,0,2.539064125,0,0,8.4852475,0,0,2.0182266875,0,0,3.2335090625,0,5.38195,3.4505223125,0,3.5156235625,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0946075,0,0,0,0,0
1174,P737470,0,19737,A07,1.9097228125,0,0,6.2065971875,0.41232625,0,0.021701375,0,0,0,2.929685625,4.94791575,0,0,4.47048825,5.8810771875,1.5408,1.540796875,0,0,0,5.881075,0.4123265625,0,0,1.3888875,2.105034625,6.358495125,0.0651041875,0,0,0,0,0,0,0,0,1.2586815,1.2152795,0.0434028125,0,0,0,0,0,0,4.2968746875,0,0,0
1174,P737470,0,19737,A08,8.4852371875,0,0,0,0,7.0529515625,0,0,3.2118028125,0,10.7421795,0,0,4.4704875,0.911459375,2.58246525,0,8.745674375,0,0,3.320312125,0,0,3.5807309375,0,0,9.3966928125,0,0,4.275173125,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0
1174,P737470,0,19737,A09,0,2.322046875,1.2803829375,0,0,10.1996534375,0,0,0,7.2265653125,0,0,0,0,4.535584375,2.387152,0,0,0,2.756076,0,0,5.381945125,0,2.7994784375,1.0850706875,0,0,0,1.7795146875,6.4019099375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0
1174,P737470,0,19737,A10,3.841146625,0,0,5.90277625,0,1.8229186875,0,0,2.322048875,0,1.6710073125,0,0,2.842884375,0.9982625,0,3.8411454375,0,0,0,4.0364596875,0,3.689236375,1.692709375,1.9748269375,5.143225125,0,0,2.8428823125,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0
