"plate_id","bottle_id","chemical_id","chemical_name","value","units"
19842,"P737470",1174,"Benzo[a]pyrene",0,""
19842,"P737470",1174,"Benzo[a]pyrene",1,"um"
19842,"P737470",1174,"Benzo[a]pyrene",5,"um"
19842,"P737470",1174,"Benzo[a]pyrene",10,"um"
19843,"P737470",1174,"Benzo[a]pyrene",0,""
19843,"P737470",1174,"Benzo[a]pyrene",1,"um"
19843,"P737470",1174,"Benzo[a]pyrene",5,"um"
19843,"P737470",1174,"Benzo[a]pyrene",10,"um"
19737,"P737470",1174,"Benzo[a]pyrene",0,""
19737,"P737470",1174,"Benzo[a]pyrene",1,"um"
19737,"P737470",1174,"Benzo[a]pyrene",5,"um"
19737,"P737470",1174,"Benzo[a]pyrene",10,"um"
19738,"P737470",1174,"Benzo[a]pyrene",0,""
19738,"P737470",1174,"Benzo[a]pyrene",1,"um"
19738,"P737470",1174,"Benzo[a]pyrene",5,"um"
19738,"P737470",1174,"Benzo[a]pyrene",10,"um"
19902,"P737470",1174,"Benzo[a]pyrene",0,""
19902,"P737470",1174,"Benzo[a]pyrene",1,"um"
19902,"P737470",1174,"Benzo[a]pyrene",5,"um"
19902,"P737470",1174,"Benzo[a]pyrene",10,"um"
19903,"P737470",1174,"Benzo[a]pyrene",0,""
19903,"P737470",1174,"Benzo[a]pyrene",1,"um"
19903,"P737470",1174,"Benzo[a]pyrene",5,"um"
19903,"P737470",1174,"Benzo[a]pyrene",10,"um"
