Plate_ID,Bottle_id,Experiment_name,Plate_description,GFD_date,GFD_by,Day1_HMAT,Day1_dev_check,Day5_LPR,Day5_dev_check,Day10_LPR,Endpoint_sterility_check,Experiment_description
000018032,C844503,gf-vs-cvz-wChorions-10day-01,germ-free,2019-04-03,Keaton,yes,yes,yes,yes,yes,sterile,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018033,C844503,gf-vs-cvz-wChorions-10day-01,germ-free,2019-04-03,Keaton,yes,yes,yes,yes,yes,sterile,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018034,C125605,gf-vs-cvz-wChorions-10day-01,conventionalized,2019-04-03,Keaton,yes,yes,yes,yes,yes,NA,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018035,C125605,gf-vs-cvz-wChorions-10day-01,conventionalized,2019-04-03,Keaton,yes,yes,yes,yes,yes,NA,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018036,C844503,gf-vs-cvz-wChorions-10day-02,germ-free,2019-04-04,Keaton,yes,yes,yes,yes,yes,sterile,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018037,C844503,gf-vs-cvz-wChorions-10day-02,germ-free,2019-04-04,Keaton,yes,yes,yes,yes,yes,sterile,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018038,C125605,gf-vs-cvz-wChorions-10day-02,conventionalized,2019-04-04,Keaton,yes,yes,yes,yes,yes,NA,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018039,C125605,gf-vs-cvz-wChorions-10day-02,conventionalized,2019-04-04,Keaton,yes,yes,yes,yes,yes,NA,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018040,C844503,gf-vs-cvz-wChorions-10day-03,germ-free,2019-04-17,Keaton,yes,yes,yes,yes,yes,sterile,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
000018041,C844503,gf-vs-cvz-wChorions-10day-03,germ-free,2019-04-17,Keaton,yes,yes,yes,yes,yes,sterile,"Comparing germ-free vs conventionalized larvae; no dechorionation; behavior assays at 1, 5, and 10 dpf (HMAT, LPR, LPR, resp.); development checks at 1 and 5 dpf. "
