SARL_plateID,Expt_ID,Chemical_name,Microbiome_treat,BaP_uM,Sample,Extract_batch,Expt_plateID,Sample_well,Sample_row,Sample_col,Tube,CD1,Dissector,Dissect_result
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1A01,1,1,A01,A,1,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1C02,1,1,C02,C,2,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1D01,1,1,D01,D,1,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1F01,1,1,F01,F,1,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1H01,1,1,H01,H,1,Lot163,Lot663,Kristin,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2C01,1,2,C01,C,1,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2E01,1,2,E01,E,1,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2G01,1,2,G01,G,1,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3A01,1,3,A01,A,1,Lot163,Lot663,Austin,partial
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3C01,1,3,C01,C,1,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3E01,1,3,E01,E,1,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3G01,1,3,G01,G,1,Lot163,Lot663,Austin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4A01,1,4,A01,A,1,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4C01,1,4,C01,C,1,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4E01,1,4,E01,E,1,Lot663,Lot163,Kristin,partial
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4G01,1,4,G01,G,1,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5A01,1,5,A01,A,1,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5C01,1,5,C01,C,1,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5F01,1,5,F01,F,1,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5H01,1,5,H01,H,1,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6B01,1,6,B01,B,1,Lot163,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6D01,1,6,D01,D,1,Lot163,Lot163,Austin,partial
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6F01,1,6,F01,F,1,Lot163,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6H01,1,6,H01,H,1,Lot163,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1A02,2,1,A02,A,2,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1B01,2,1,B01,B,1,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1E01,2,1,E01,E,1,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1E02,2,1,E02,E,2,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1G01,2,1,G01,G,1,Lot163,Lot663,Kristin,whole
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2A01,2,2,A01,A,1,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2D01,2,2,D01,D,1,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2F01,2,2,F01,F,1,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2H01,2,2,H01,H,1,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3B01,2,3,B01,B,1,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3D01,2,3,D01,D,1,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3F01,2,3,F01,F,1,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3H01,2,3,H01,H,1,Lot163,Lot663,Austin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4B01,2,4,B01,B,1,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4D01,2,4,D01,D,1,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4F01,2,4,F01,F,1,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4H01,2,4,H01,H,1,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,0,P5B01,2,5,B01,B,1,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5E01,2,5,E01,E,1,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5G01,2,5,G01,G,1,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6A01,2,6,A01,A,1,Lot163,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6C01,2,6,C01,C,1,Lot163,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6E01,2,6,E01,E,1,Lot163,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6G01,2,6,G01,G,1,Lot163,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,0,P1B03,3,1,B03,B,3,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1D03,3,1,D03,D,3,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1G02,3,1,G02,G,2,Lot163,Lot663,Kristin,whole
